               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.022057,           0.0060142,                   0,             0.98635,             0.95446,             0.97763,             0.70124,            0.022771,           0.0043491,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.021664,           0.0059931,                   0,             0.98771,             0.94806,             0.97646,             0.69674,            0.022918,           0.0042739,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.02182,           0.0059844,                   0,             0.98404,              0.9508,             0.97286,             0.69364,             0.02313,           0.0043745,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.021843,           0.0060064,                   0,             0.97493,             0.96173,             0.97599,             0.68987,            0.023406,           0.0044374,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.021778,           0.0059748,                   0,             0.98083,             0.95125,              0.9757,             0.69716,            0.022954,           0.0044474,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.021637,            0.005946,                   0,             0.98401,             0.95347,             0.97524,             0.69472,            0.023175,           0.0044419,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.021541,           0.0059684,                   0,             0.98541,             0.94943,             0.97644,             0.69839,            0.022803,           0.0042895,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.021633,           0.0059735,                   0,             0.98484,             0.95262,             0.97744,             0.69554,            0.022762,           0.0043293,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.021628,           0.0059347,                   0,             0.98267,             0.95563,             0.97548,             0.69815,            0.022621,           0.0043289,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.021287,           0.0059036,                   0,             0.97598,             0.96241,             0.97598,             0.69511,            0.023134,           0.0042992,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.021392,           0.0059346,                   0,             0.98536,             0.95066,             0.97728,             0.69843,            0.022925,           0.0043089,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.021496,           0.0059309,                   0,             0.97333,             0.95945,             0.97843,              0.7034,            0.022897,           0.0044052,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.021171,           0.0058965,                   0,             0.98547,             0.95756,             0.97788,             0.70355,            0.022668,           0.0042898,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.021119,           0.0059562,                   0,             0.98493,              0.9527,             0.97703,              0.7008,            0.022516,           0.0043498,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.021483,           0.0058807,                   0,             0.97963,             0.95672,             0.97581,              0.6979,            0.022689,           0.0043739,                   0,            0.008317,            0.008317,            0.008317
